Descripción,Num_Características,Accuracy,Precision,Recall,F1,AUC
Incremental Completo,23,0.8425925925925926,0.6,0.6818181818181818,0.6382978723404256,0.8849762156448203
Incremental Sin Obvias,21,0.7870370370370371,0.48,0.5454545454545454,0.5106382978723404,0.7891781183932347
Fijo Todas,452,0.7407407407407407,0.40625,0.5909090909090909,0.48148148148148145,0.7637420718816067
Fijo Sin Obvias,426,0.6620370370370371,0.2898550724637681,0.45454545454545453,0.35398230088495575,0.6715116279069768
